n,alg,h,cf,time,value
8,bruteforce,1,<lambda>,0.023000478744506836,64.0
8,mclink,1,<lambda>,0.011100292205810547,64.0
8,bruteforce,2,<lambda>,1.338893175125122,114.0
8,mclink,2,<lambda>,0.014155864715576172,114.0
8,bruteforce,3,<lambda>,17.392979383468628,152.0
8,mclink,3,<lambda>,0.01880955696105957,152.0
8,bruteforce,4,<lambda>,92.37336087226868,180.0
8,mclink,4,<lambda>,0.022412776947021484,180.0
8,bruteforce,5,<lambda>,239.61990523338318,200.0
8,mclink,5,<lambda>,0.026504993438720703,200.0
8,bruteforce,6,<lambda>,336.1937789916992,214.0
8,mclink,6,<lambda>,0.028110742568969727,214.0
8,bruteforce,7,<lambda>,238.81966876983643,224.0
8,mclink,7,<lambda>,0.031384944915771484,224.0
8,bruteforce,8,<lambda>,67.15056252479553,232.0
8,mclink,8,<lambda>,0.03350830078125,232.0
9,bruteforce,1,<lambda>,0.12220311164855957,81.0
9,mclink,1,<lambda>,0.012063741683959961,81.0
9,bruteforce,2,<lambda>,13.473353385925293,146.0
9,mclink,2,<lambda>,0.018619060516357422,146.0
9,bruteforce,3,<lambda>,263.62629437446594,197.0
9,mclink,3,<lambda>,0.022579669952392578,197.0
9,bruteforce,4,<lambda>,2008.1253025531769,236.0
9,mclink,4,<lambda>,0.027340412139892578,236.0
9,bruteforce,5,<lambda>,timeout,inf
9,mclink,5,<lambda>,0.032485246658325195,265.0
9,bruteforce,6,<lambda>,timeout,inf
9,mclink,6,<lambda>,0.03672361373901367,286.0
9,bruteforce,7,<lambda>,timeout,inf
9,mclink,7,<lambda>,0.03800702095031738,301.0
9,bruteforce,8,<lambda>,timeout,inf
9,mclink,8,<lambda>,0.04108095169067383,312.0
9,bruteforce,9,<lambda>,2666.6602342128754,321.0
9,mclink,9,<lambda>,0.04307079315185547,321.0
29,mclink,1,<lambda>,0.30467939376831055,841.0
29,mclink,2,<lambda>,0.621497392654419,1626.0
29,mclink,3,<lambda>,0.7231166362762451,2357.0
29,mclink,4,<lambda>,0.8317253589630127,3036.0
29,mclink,5,<lambda>,0.9364385604858398,3665.0
29,mclink,6,<lambda>,1.0425817966461182,4246.0
29,mclink,7,<lambda>,1.1535987854003906,4781.0
29,mclink,8,<lambda>,1.266545057296753,5272.0
29,mclink,9,<lambda>,1.3797037601470947,5721.0
49,mclink,1,<lambda>,1.4932684898376465,2401.0
49,mclink,2,<lambda>,5.1747119426727295,4706.0
49,mclink,3,<lambda>,6.380239486694336,6917.0
49,mclink,4,<lambda>,7.562143325805664,9036.0
49,mclink,5,<lambda>,8.670583248138428,11065.0
49,mclink,6,<lambda>,9.935643196105957,13006.0
49,mclink,7,<lambda>,11.122429609298706,14861.0
49,mclink,8,<lambda>,12.384786128997803,16632.0
49,mclink,9,<lambda>,13.445568561553955,18321.0
69,mclink,1,<lambda>,4.184604167938232,4761.0
69,mclink,2,<lambda>,24.678189992904663,9386.0
69,mclink,3,<lambda>,30.95148491859436,13877.0
69,mclink,4,<lambda>,36.6467809677124,18236.0
69,mclink,5,<lambda>,43.8891065120697,22465.0
69,mclink,6,<lambda>,49.862911224365234,26566.0
69,mclink,7,<lambda>,56.4220175743103,30541.0
69,mclink,8,<lambda>,62.092134952545166,34392.0
69,mclink,9,<lambda>,68.63153767585754,38121.0
