n,alg,h,cf,time,value
3,bruteforce,3,uniform,0.00010776519775390625,3.5660222450910175
3,mclink,3,uniform,0.002867460250854492,3.566022245091017
4,bruteforce,3,uniform,0.0006794929504394531,8.942818039868948
4,mclink,3,uniform,0.004673957824707031,8.94281803986895
5,bruteforce,3,uniform,0.020003318786621094,11.312031673185741
5,mclink,3,uniform,0.004081010818481445,10.221376983788012
6,bruteforce,3,uniform,0.07312130928039551,13.48470605938758
6,mclink,3,uniform,0.00741124153137207,12.772867743325378
7,bruteforce,3,uniform,0.9044418334960938,17.199568738043048
7,mclink,3,uniform,0.00992727279663086,14.458540612214296
8,bruteforce,3,uniform,12.034242153167725,20.94744449252726
8,mclink,3,uniform,0.015551567077636719,17.88625352238521
9,bruteforce,3,uniform,177.61645245552063,23.982268342751865
9,mclink,3,uniform,0.017970800399780273,21.373486199104438
3,bruteforce,3,modified_uniform,0.00011777877807617188,92.5330610965569
3,mclink,3,modified_uniform,0.002611398696899414,92.5330610965569
4,bruteforce,3,modified_uniform,0.0006680488586425781,92.93816609537652
4,mclink,3,modified_uniform,0.003101348876953125,70.22177337962586
5,bruteforce,3,modified_uniform,0.006701469421386719,196.48019045163255
5,mclink,3,modified_uniform,0.004729509353637695,141.71027872677382
6,bruteforce,3,modified_uniform,0.07259559631347656,209.76545130706924
6,mclink,3,modified_uniform,0.0052030086517333984,180.72891810620476
7,bruteforce,3,modified_uniform,0.9018423557281494,364.8573657824193
7,mclink,3,modified_uniform,0.0065593719482421875,364.8573657824193
8,bruteforce,3,modified_uniform,12.029206037521362,433.41485725155144
8,mclink,3,modified_uniform,0.010357141494750977,334.7302664416372
9,bruteforce,3,modified_uniform,178.87862348556519,451.8741307290562
9,mclink,3,modified_uniform,0.01813220977783203,330.64192827827515
3,bruteforce,3,agent_based_uniform,9.703636169433594e-05,53.80352020315635
3,mclink,3,agent_based_uniform,0.002598285675048828,53.80352020315636
4,bruteforce,3,agent_based_uniform,0.0007622241973876953,104.01969488327151
4,mclink,3,agent_based_uniform,0.0032281875610351562,94.99880936540453
5,bruteforce,3,agent_based_uniform,0.006466865539550781,115.91693637573796
5,mclink,3,agent_based_uniform,0.003934621810913086,90.34351499963682
6,bruteforce,3,agent_based_uniform,0.07485222816467285,86.4825990444271
6,mclink,3,agent_based_uniform,0.005033254623413086,57.023221071898945
7,bruteforce,3,agent_based_uniform,0.9053385257720947,172.30384363081902
7,mclink,3,agent_based_uniform,0.009196281433105469,160.44329457979407
8,bruteforce,3,agent_based_uniform,12.234952449798584,169.45133483243893
8,mclink,3,agent_based_uniform,0.009381771087646484,135.1534103554157
9,bruteforce,3,agent_based_uniform,177.55833530426025,228.9037600624721
9,mclink,3,agent_based_uniform,0.017048358917236328,180.62301560257447
3,bruteforce,3,normal,0.00010728836059570312,89.98175532044831
3,mclink,3,normal,0.0024704933166503906,89.98175532044831
4,bruteforce,3,normal,0.0006666183471679688,120.02728307990942
4,mclink,3,normal,0.0030968189239501953,120.02728307990944
5,bruteforce,3,normal,0.00643610954284668,150.0506041175958
5,mclink,3,normal,0.003957271575927734,150.0032617816909
6,bruteforce,3,normal,0.0725717544555664,180.0851877624305
6,mclink,3,normal,0.005019426345825195,180.0473593450768
7,bruteforce,3,normal,0.8919463157653809,210.145234362476
7,mclink,3,normal,0.006365299224853516,210.11279517704895
8,bruteforce,3,normal,12.03740668296814,240.1596389903484
8,mclink,3,normal,0.011362314224243164,240.13086823825424
9,bruteforce,3,normal,178.8818166255951,270.1399033229063
