n,alg,h,time,value
10,MC-Link,10,0.06609797477722168,430.0
11,MC-Link,10,0.07418680191040039,550.0
12,MC-Link,10,0.09351706504821777,690.0
13,MC-Link,10,0.10978317260742188,850.0
14,MC-Link,10,0.1332387924194336,1030.0
15,MC-Link,10,0.1621532440185547,1230.0
16,MC-Link,10,0.19699358940124512,1450.0
17,MC-Link,10,0.23920392990112305,1690.0
18,MC-Link,10,0.28284358978271484,1950.0
19,MC-Link,10,0.3506903648376465,2230.0
20,MC-Link,10,0.40718626976013184,2530.0
21,MC-Link,10,0.4704558849334717,2850.0
22,MC-Link,10,0.5454514026641846,3190.0
23,MC-Link,10,0.6332235336303711,3550.0
24,MC-Link,10,0.735724687576294,3930.0
25,MC-Link,10,0.8669493198394775,4330.0
26,MC-Link,10,1.0074982643127441,4750.0
27,MC-Link,10,1.1593315601348877,5190.0
28,MC-Link,10,1.3338749408721924,5650.0
29,MC-Link,10,1.5494203567504883,6130.0
30,MC-Link,10,1.7315278053283691,6630.0
31,MC-Link,10,1.9968552589416504,7150.0
32,MC-Link,10,2.290644645690918,7690.0
33,MC-Link,10,2.54306960105896,8250.0
34,MC-Link,10,2.8815982341766357,8830.0
35,MC-Link,10,3.2585959434509277,9430.0
36,MC-Link,10,3.7071118354797363,10050.0
37,MC-Link,10,4.117706537246704,10690.0
38,MC-Link,10,4.644024848937988,11350.0
39,MC-Link,10,5.294309139251709,12030.0
40,MC-Link,10,5.967885732650757,12730.0
41,MC-Link,10,6.786298751831055,13450.0
42,MC-Link,10,7.509780406951904,14190.0
43,MC-Link,10,8.27033543586731,14950.0
44,MC-Link,10,9.25158953666687,15730.0
45,MC-Link,10,10.393301010131836,16530.0
46,MC-Link,10,11.426846265792847,17350.0
47,MC-Link,10,12.580403566360474,18190.0
48,MC-Link,10,13.874568700790405,19050.0
49,MC-Link,10,15.37598180770874,19930.0
50,MC-Link,10,16.658172130584717,20830.0
51,MC-Link,10,18.466777324676514,21750.0
52,MC-Link,10,20.407925128936768,22690.0
53,MC-Link,10,22.24324893951416,23650.0
54,MC-Link,10,24.76800560951233,24630.0
55,MC-Link,10,26.865753173828125,25630.0
56,MC-Link,10,29.39760684967041,26650.0
57,MC-Link,10,31.87973713874817,27690.0
58,MC-Link,10,35.18808054924011,28750.0
59,MC-Link,10,38.27542066574097,29830.0
60,MC-Link,10,41.647064208984375,30930.0
61,MC-Link,10,43.92704677581787,32050.0
62,MC-Link,10,48.71855115890503,33190.0
63,MC-Link,10,51.52824282646179,34350.0
64,MC-Link,10,55.943955421447754,35530.0
65,MC-Link,10,59.19557023048401,36730.0
66,MC-Link,10,63.5051646232605,37950.0
67,MC-Link,10,67.62441968917847,39190.0
68,MC-Link,10,71.77097702026367,40450.0
69,MC-Link,10,78.67435455322266,41730.0
70,MC-Link,10,85.71155309677124,43030.0
71,MC-Link,10,89.02501130104065,44350.0
72,MC-Link,10,94.69152498245239,45690.0
73,MC-Link,10,104.63908362388611,47050.0
74,MC-Link,10,107.1649558544159,48430.0
75,MC-Link,10,114.65648937225342,49830.0
76,MC-Link,10,122.65548849105835,51250.0
77,MC-Link,10,130.94015550613403,52690.0
78,MC-Link,10,141.97035789489746,54150.0
79,MC-Link,10,151.86116290092468,55630.0
80,MC-Link,10,168.4087598323822,57130.0
81,MC-Link,10,182.223379611969,58650.0
82,MC-Link,10,186.10868000984192,60190.0
83,MC-Link,10,199.3517050743103,61750.0
84,MC-Link,10,209.0396707057953,63330.0
85,MC-Link,10,223.1772427558899,64930.0
86,MC-Link,10,244.7411506175995,66550.0
87,MC-Link,10,248.41580390930176,68190.0
88,MC-Link,10,270.27666115760803,69850.0
89,MC-Link,10,279.6532530784607,71530.0
90,MC-Link,10,293.2773132324219,73230.0
91,MC-Link,10,314.9149043560028,74950.0
92,MC-Link,10,330.35452938079834,76690.0
93,MC-Link,10,350.49283623695374,78450.0
94,MC-Link,10,377.90563702583313,80230.0
95,MC-Link,10,387.4210960865021,82030.0
96,MC-Link,10,411.20878648757935,83850.0
97,MC-Link,10,428.21276473999023,85690.0
98,MC-Link,10,452.0594835281372,87550.0
99,MC-Link,10,472.67884063720703,89430.0
100,MC-Link,10,496.25825333595276,91330.0
20,MC-Link,20,0.6201505661010742,3060.0
21,MC-Link,20,0.7335910797119141,3500.0
22,MC-Link,20,0.8748438358306885,3980.0
23,MC-Link,20,1.035844326019287,4500.0
24,MC-Link,20,1.228637456893921,5060.0
25,MC-Link,20,1.44901704788208,5660.0
26,MC-Link,20,1.7120227813720703,6300.0
27,MC-Link,20,2.003227472305298,6980.0
28,MC-Link,20,2.3198769092559814,7700.0
29,MC-Link,20,2.712252616882324,8460.0
30,MC-Link,20,3.0669755935668945,9260.0
31,MC-Link,20,3.5241122245788574,10100.0
32,MC-Link,20,4.03764533996582,10980.0
33,MC-Link,20,4.4725940227508545,11900.0
34,MC-Link,20,5.190706729888916,12860.0
35,MC-Link,20,5.84028434753418,13860.0
36,MC-Link,20,6.7243335247039795,14900.0
37,MC-Link,20,7.307546615600586,15980.0
38,MC-Link,20,8.37546420097351,17100.0
39,MC-Link,20,9.544523477554321,18260.0
40,MC-Link,20,10.765528440475464,19460.0
41,MC-Link,20,12.190762519836426,20700.0
42,MC-Link,20,13.705272912979126,21980.0
43,MC-Link,20,15.033783197402954,23300.0
44,MC-Link,20,16.743910312652588,24660.0
45,MC-Link,20,18.78543448448181,26060.0
46,MC-Link,20,20.688071489334106,27500.0
47,MC-Link,20,22.699575901031494,28980.0
48,MC-Link,20,25.112605333328247,30500.0
49,MC-Link,20,28.093096494674683,32060.0
50,MC-Link,20,30.702168226242065,33660.0
51,MC-Link,20,33.6511652469635,35300.0
52,MC-Link,20,37.19039225578308,36980.0
53,MC-Link,20,40.81992816925049,38700.0
54,MC-Link,20,44.395466327667236,40460.0
55,MC-Link,20,49.46807551383972,42260.0
56,MC-Link,20,55.185823917388916,44100.0
57,MC-Link,20,59.7908673286438,45980.0
58,MC-Link,20,65.47587466239929,47900.0
59,MC-Link,20,70.91716504096985,49860.0
60,MC-Link,20,75.97446346282959,51860.0
61,MC-Link,20,82.42278170585632,53900.0
62,MC-Link,20,91.53401899337769,55980.0
63,MC-Link,20,96.86523818969727,58100.0
64,MC-Link,20,104.64929604530334,60260.0
65,MC-Link,20,110.31402564048767,62460.0
66,MC-Link,20,119.05317568778992,64700.0
67,MC-Link,20,125.89607000350952,66980.0
68,MC-Link,20,134.95272064208984,69300.0
69,MC-Link,20,146.76606225967407,71660.0
70,MC-Link,20,157.9516887664795,74060.0
71,MC-Link,20,172.88269305229187,76500.0
72,MC-Link,20,178.421222448349,78980.0
73,MC-Link,20,188.3299868106842,81500.0
74,MC-Link,20,203.00703382492065,84060.0
75,MC-Link,20,213.93310856819153,86660.0
76,MC-Link,20,228.35948514938354,89300.0
77,MC-Link,20,245.62937116622925,91980.0
78,MC-Link,20,266.9721260070801,94700.0
79,MC-Link,20,286.68437671661377,97460.0
80,MC-Link,20,304.2457673549652,100260.0
81,MC-Link,20,340.54464840888977,103100.0
82,MC-Link,20,349.996346950531,105980.0
83,MC-Link,20,370.4435203075409,108900.0
84,MC-Link,20,394.5950231552124,111860.0
85,MC-Link,20,420.2448205947876,114860.0
86,MC-Link,20,457.8580584526062,117900.0
87,MC-Link,20,468.44714641571045,120980.0
88,MC-Link,20,515.7931754589081,124100.0
89,MC-Link,20,546.7594614028931,127260.0
90,MC-Link,20,560.3185656070709,130460.0
91,MC-Link,20,587.2479331493378,133700.0
92,MC-Link,20,626.3689956665039,136980.0
93,MC-Link,20,658.6168925762177,140300.0
94,MC-Link,20,687.2594561576843,143660.0
95,MC-Link,20,719.0226454734802,147060.0
96,MC-Link,20,771.9001541137695,150500.0
97,MC-Link,20,801.1291165351868,153980.0
98,MC-Link,20,870.6230533123016,157500.0
99,MC-Link,20,891.2731685638428,161060.0
100,MC-Link,20,931.880916595459,164660.0
30,MC-Link,30,3.8415372371673584,9890.0
31,MC-Link,30,4.503781318664551,10850.0
32,MC-Link,30,5.226149559020996,11870.0
33,MC-Link,30,5.941023111343384,12950.0
34,MC-Link,30,6.918499946594238,14090.0
35,MC-Link,30,7.845398187637329,15290.0
36,MC-Link,30,9.052348375320435,16550.0
37,MC-Link,30,10.03498911857605,17870.0
38,MC-Link,30,11.508192300796509,19250.0
39,MC-Link,30,15.514254093170166,20690.0
40,MC-Link,30,15.34086537361145,22190.0
41,MC-Link,30,17.22145962715149,23750.0
42,MC-Link,30,19.502575159072876,25370.0
43,MC-Link,30,21.144238471984863,27050.0
44,MC-Link,30,23.886511087417603,28790.0
45,MC-Link,30,26.792270183563232,30590.0
46,MC-Link,30,30.030082941055298,32450.0
47,MC-Link,30,32.808040618896484,34370.0
48,MC-Link,30,36.397621154785156,36350.0
49,MC-Link,30,40.544161319732666,38390.0
50,MC-Link,30,44.577465534210205,40490.0
51,MC-Link,30,48.65614438056946,42650.0
52,MC-Link,30,54.14500188827515,44870.0
53,MC-Link,30,59.589430809020996,47150.0
54,MC-Link,30,74.01777625083923,49490.0
55,MC-Link,30,71.97282242774963,51890.0
56,MC-Link,30,79.24521088600159,54350.0
57,MC-Link,30,87.03112316131592,56870.0
58,MC-Link,30,93.97714281082153,59450.0
59,MC-Link,30,103.00558662414551,62090.0
60,MC-Link,30,112.68956804275513,64790.0
61,MC-Link,30,121.54829859733582,67550.0
62,MC-Link,30,132.62293410301208,70370.0
63,MC-Link,30,142.0032501220703,73250.0
64,MC-Link,30,152.64574241638184,76190.0
65,MC-Link,30,162.08674597740173,79190.0
66,MC-Link,30,171.99604034423828,82250.0
67,MC-Link,30,184.67525005340576,85370.0
68,MC-Link,30,197.17562246322632,88550.0
69,MC-Link,30,215.95360398292542,91790.0
70,MC-Link,30,231.98594665527344,95090.0
71,MC-Link,30,246.22361993789673,98450.0
72,MC-Link,30,260.9276514053345,101870.0
73,MC-Link,30,286.1557514667511,105350.0
74,MC-Link,30,295.26570224761963,108890.0
75,MC-Link,30,320.66900396347046,112490.0
76,MC-Link,30,341.0696301460266,116150.0
77,MC-Link,30,370.4764304161072,119870.0
78,MC-Link,30,398.95934534072876,123650.0
79,MC-Link,30,430.32176971435547,127490.0
80,MC-Link,30,473.5805768966675,131390.0
81,MC-Link,30,511.2048270702362,135350.0
82,MC-Link,30,522.6911103725433,139370.0
83,MC-Link,30,568.7527663707733,143450.0
84,MC-Link,30,590.6631634235382,147590.0
85,MC-Link,30,615.7121431827545,151790.0
86,MC-Link,30,676.2299330234528,156050.0
87,MC-Link,30,693.8022062778473,160370.0
88,MC-Link,30,757.5542480945587,164750.0
89,MC-Link,30,786.3527944087982,169190.0
90,MC-Link,30,824.0215654373169,173690.0
91,MC-Link,30,894.9232952594757,178250.0
92,MC-Link,30,926.5232837200165,182870.0
93,MC-Link,30,968.8851497173309,187550.0
94,MC-Link,30,1037.5519070625305,192290.0
95,MC-Link,30,1054.2724952697754,197090.0
96,MC-Link,30,1112.6111972332,201950.0
97,MC-Link,30,1177.8850011825562,206870.0
98,MC-Link,30,1217.0583012104034,211850.0
99,MC-Link,30,1294.067922592163,216890.0
100,MC-Link,30,1333.4576108455658,221990.0
40,MC-Link,40,17.312576293945312,22920.0
41,MC-Link,40,20.31692862510681,24600.0
42,MC-Link,40,23.012755155563354,26360.0
43,MC-Link,40,25.71463394165039,28200.0
44,MC-Link,40,29.154454946517944,30120.0
45,MC-Link,40,32.77830481529236,32120.0
46,MC-Link,40,36.88976192474365,34200.0
47,MC-Link,40,40.915234327316284,36360.0
48,MC-Link,40,45.51131510734558,38600.0
49,MC-Link,40,51.53831505775452,40920.0
50,MC-Link,40,56.77973031997681,43320.0
51,MC-Link,40,61.62707734107971,45800.0
52,MC-Link,40,69.33792543411255,48360.0
53,MC-Link,40,75.8533239364624,51000.0
54,MC-Link,40,82.93246841430664,53720.0
55,MC-Link,40,93.30266332626343,56520.0
56,MC-Link,40,101.28940749168396,59400.0
57,MC-Link,40,111.18585681915283,62360.0
58,MC-Link,40,120.60918545722961,65400.0
59,MC-Link,40,132.42330026626587,68520.0
60,MC-Link,40,143.85185480117798,71720.0
61,MC-Link,40,156.4914722442627,75000.0
62,MC-Link,40,170.0021698474884,78360.0
63,MC-Link,40,183.5218460559845,81800.0
64,MC-Link,40,195.46118640899658,85320.0
65,MC-Link,40,213.7822301387787,88920.0
66,MC-Link,40,227.748432636261,92600.0
67,MC-Link,40,242.93536710739136,96360.0
68,MC-Link,40,259.64659786224365,100200.0
69,MC-Link,40,286.321608543396,104120.0
70,MC-Link,40,305.7129216194153,108120.0
71,MC-Link,40,323.06563210487366,112200.0
72,MC-Link,40,342.61488914489746,116360.0
73,MC-Link,40,372.150009393692,120600.0
74,MC-Link,40,390.34132051467896,124920.0
75,MC-Link,40,419.8203110694885,129320.0
76,MC-Link,40,439.3816707134247,133800.0
77,MC-Link,40,482.57641100883484,138360.0
78,MC-Link,40,513.2220196723938,143000.0
79,MC-Link,40,553.1596903800964,147720.0
80,MC-Link,40,593.1230862140656,152520.0
81,MC-Link,40,630.1296508312225,157400.0
82,MC-Link,40,674.6839623451233,162360.0
83,MC-Link,40,718.8590040206909,167400.0
84,MC-Link,40,768.6130001544952,172520.0
